,open,high,low,close,adjclose,volume,ticker
2008-12-31,9973.0595703125,10469.7197265625,8631.599609375,9424.240234375,9424.240234375,1120000,^BSESN
2009-01-31,9363.580078125,9724.8701171875,8619.2197265625,8891.6103515625,8891.6103515625,653600,^BSESN
2009-02-28,8762.8798828125,10127.08984375,8047.169921875,9708.5,9708.5,867600,^BSESN
2009-03-31,9745.76953125,11492.099609375,9546.2900390625,11403.25,11403.25,860000,^BSESN
2009-04-30,11635.240234375,14930.5400390625,11621.2998046875,14625.25,14625.25,1050000,^BSESN
2009-05-31,14790.8896484375,15600.2998046875,14016.9501953125,14493.83984375,14493.83984375,851800,^BSESN
2009-06-30,14493.83984375,15732.8095703125,13219.990234375,15670.3095703125,15670.3095703125,801000,^BSESN
2009-07-31,15694.7802734375,16002.4599609375,14684.4501953125,15666.6396484375,15666.6396484375,599200,^BSESN
2009-08-31,15691.26953125,17142.51953125,15356.7197265625,17126.83984375,17126.83984375,550400,^BSESN
2009-09-30,17186.19921875,17457.259765625,15805.2001953125,15896.2802734375,15896.2802734375,561600,^BSESN
2009-10-31,15838.6298828125,17290.48046875,15330.5595703125,16926.220703125,16926.220703125,478000,^BSESN
2009-11-30,16947.4609375,17530.939453125,16577.779296875,17464.810546875,17464.810546875,399600,^BSESN
2009-12-31,17473.44921875,17790.330078125,15982.080078125,16357.9599609375,16357.9599609375,391200,^BSESN
2010-01-31,16339.3203125,16669.25,15651.990234375,16429.55078125,16429.55078125,351400,^BSESN
2010-02-28,16438.44921875,17793.009765625,16438.44921875,17527.76953125,17527.76953125,368400,^BSESN
2010-03-31,17555.0390625,18047.859375,17276.80078125,17558.7109375,17558.7109375,259800,^BSESN
2010-04-30,17536.859375,17536.859375,15960.150390625,16944.630859375,16944.630859375,398600,^BSESN
2010-05-31,16942.8203125,17919.619140625,16318.3896484375,17700.900390625,17700.900390625,500200,^BSESN
2010-06-30,17679.33984375,18237.560546875,17395.580078125,17868.2890625,17868.2890625,330600,^BSESN
2010-07-31,17911.310546875,18475.26953125,17819.990234375,17971.119140625,17971.119140625,311600,^BSESN
2010-08-31,18027.119140625,20267.98046875,18027.119140625,20069.119140625,20069.119140625,334800,^BSESN
2010-09-30,20094.099609375,20854.55078125,19768.9609375,20032.33984375,20032.33984375,288400,^BSESN
2010-10-31,20272.490234375,21108.640625,18954.8203125,19521.25,19521.25,289800,^BSESN
2010-11-30,19529.990234375,20552.029296875,19074.5703125,20509.08984375,20509.08984375,291800,^BSESN
2010-12-31,20621.609375,20664.80078125,18038.48046875,18327.759765625,18327.759765625,312600,^BSESN
2011-01-31,18425.1796875,18690.970703125,17295.619140625,17823.400390625,17823.400390625,434400,^BSESN
2011-02-28,17982.279296875,19575.16015625,17792.169921875,19445.220703125,19445.220703125,375000,^BSESN
2011-03-31,19463.109375,19811.140625,18976.189453125,19135.9609375,19135.9609375,231000,^BSESN
2011-04-30,19224.05078125,19253.869140625,17786.130859375,18503.279296875,18503.279296875,287200,^BSESN
2011-05-31,18527.119140625,18873.390625,17314.380859375,18845.869140625,18845.869140625,269800,^BSESN
2011-06-30,18974.9609375,19131.69921875,18131.859375,18197.19921875,18197.19921875,249600,^BSESN
2011-07-31,18352.23046875,18440.0703125,15765.5302734375,16676.75,16676.75,295600,^BSESN
2011-08-31,16963.669921875,17211.80078125,15801.009765625,16453.759765625,16453.759765625,334200,^BSESN
2011-09-30,16255.9697265625,17908.130859375,15745.4296875,17705.009765625,17705.009765625,308200,^BSESN
2011-10-31,17540.55078125,17702.259765625,15478.6904296875,16123.4599609375,16123.4599609375,351600,^BSESN
2011-11-30,16555.9296875,17003.7109375,15135.8603515625,15454.919921875,15454.919921875,370800,^BSESN
2011-12-31,15640.5595703125,17258.970703125,15640.5595703125,17193.55078125,17193.55078125,336400,^BSESN
2012-01-31,17179.640625,18523.779296875,17061.55078125,17752.6796875,17752.6796875,431400,^BSESN
2012-02-29,17714.619140625,18040.689453125,16920.609375,17404.19921875,17404.19921875,335200,^BSESN
2012-03-31,17429.9609375,17664.099609375,17010.16015625,17318.810546875,17318.810546875,212800,^BSESN
2012-04-30,17370.9296875,17432.330078125,15809.7099609375,16218.5302734375,16218.5302734375,249800,^BSESN
2012-05-31,16217.48046875,17448.48046875,15748.98046875,17429.98046875,17429.98046875,219600,^BSESN
2012-06-30,17438.6796875,17631.189453125,16598.48046875,17236.1796875,17236.1796875,210200,^BSESN
2012-07-31,17244.439453125,17972.5390625,17026.970703125,17380.75,17380.75,213400,^BSESN
2012-08-31,17465.599609375,18869.939453125,17250.80078125,18762.740234375,18762.740234375,214200,^BSESN
2012-09-30,18784.640625,19137.2890625,18393.419921875,18505.380859375,18505.380859375,200600,^BSESN
2012-10-31,18487.900390625,19372.69921875,18255.689453125,19339.900390625,19339.900390625,163000,^BSESN
2012-11-30,19342.830078125,19612.1796875,19149.029296875,19426.7109375,19426.7109375,175200,^BSESN
2012-12-31,19693.30078125,20203.66015625,19596.380859375,19894.98046875,19894.98046875,205600,^BSESN
2013-01-31,19907.2109375,19966.689453125,18793.970703125,18861.5390625,18861.5390625,179800,^BSESN
2013-02-28,18876.6796875,19754.66015625,18568.4296875,18835.76953125,18835.76953125,194000,^BSESN
2013-03-31,18890.810546875,19622.6796875,18144.220703125,19504.1796875,19504.1796875,183800,^BSESN
2013-04-30,19459.330078125,20443.619140625,19451.259765625,19760.30078125,19760.30078125,198000,^BSESN
2013-05-31,19859.220703125,19860.189453125,18467.16015625,19395.810546875,19395.810546875,197600,^BSESN
2013-06-30,19352.48046875,20351.060546875,19126.8203125,19345.69921875,19345.69921875,214900,^BSESN
2013-07-31,19443.2890625,19569.19921875,17448.7109375,18619.720703125,18619.720703125,304800,^BSESN
2013-08-31,18691.830078125,20739.689453125,18166.169921875,19379.76953125,19379.76953125,264600,^BSESN
2013-09-30,19452.05078125,21205.439453125,19264.720703125,21164.51953125,21164.51953125,235400,^BSESN
2013-10-31,21158.810546875,21293.880859375,20137.669921875,20791.9296875,20791.9296875,193300,^BSESN
2013-11-30,20771.26953125,21483.740234375,20568.69921875,21170.6796875,21170.6796875,198500,^BSESN
2013-12-31,21222.189453125,21409.66015625,20343.779296875,20513.849609375,20513.849609375,204900,^BSESN
2014-01-31,20479.029296875,21140.509765625,19963.119140625,21120.119140625,21120.119140625,166300,^BSESN
2014-02-28,21079.26953125,22467.2109375,20920.98046875,22386.26953125,22386.26953125,365900,^BSESN
2014-03-31,22455.23046875,22939.310546875,22197.509765625,22417.80078125,22417.80078125,155700,^BSESN
2014-04-30,22493.58984375,25375.630859375,22277.0390625,24217.33984375,24217.33984375,321700,^BSESN
2014-05-31,24368.9609375,25735.869140625,24270.19921875,25413.779296875,25413.779296875,271700,^BSESN
2014-06-30,25469.939453125,26300.169921875,24892.0,25894.970703125,25894.970703125,232000,^BSESN
2014-07-31,25753.919921875,26674.380859375,25232.8203125,26638.109375,26638.109375,156800,^BSESN
2014-08-31,26733.1796875,27354.990234375,26220.490234375,26630.509765625,26630.509765625,178100,^BSESN
2014-09-30,26681.470703125,27894.3203125,25910.76953125,27865.830078125,27865.830078125,147200,^BSESN
2014-10-31,27943.0390625,28822.369140625,27739.560546875,28693.990234375,28693.990234375,164500,^BSESN
2014-11-30,28748.220703125,28809.640625,26469.419921875,27499.419921875,27499.419921875,199600,^BSESN
2014-12-31,27521.279296875,29844.16015625,26776.119140625,29182.94921875,29182.94921875,227900,^BSESN
2015-01-31,29143.630859375,29522.859375,28044.490234375,29220.119140625,29220.119140625,245200,^BSESN
2015-02-28,29533.419921875,30024.740234375,27248.44921875,27957.490234375,27957.490234375,256500,^BSESN
2015-03-31,27954.859375,29094.609375,26897.5390625,27011.310546875,27011.310546875,218100,^BSESN
2015-04-30,27204.630859375,28071.16015625,26423.990234375,27828.439453125,27828.439453125,217100,^BSESN
2015-05-31,27770.7890625,27968.75,26307.0703125,27780.830078125,27780.830078125,241700,^BSESN
2015-06-30,27823.650390625,28578.330078125,27416.390625,28114.560546875,28114.560546875,217000,^BSESN
2015-07-31,28089.08984375,28417.58984375,25298.419921875,26283.08984375,26283.08984375,286800,^BSESN
2015-08-31,26127.0390625,26471.8203125,24833.5390625,26154.830078125,26154.830078125,313100,^BSESN
2015-09-30,26344.189453125,27618.140625,26168.7109375,26656.830078125,26656.830078125,242600,^BSESN
2015-10-31,26641.689453125,26824.30078125,25451.419921875,26145.669921875,26145.669921875,196700,^BSESN
2015-11-30,26201.26953125,26256.419921875,24867.73046875,26117.5390625,26117.5390625,218600,^BSESN
2015-12-31,26116.51953125,26116.51953125,23839.759765625,24870.689453125,24870.689453125,220300,^BSESN
2016-01-31,24982.220703125,25002.3203125,22494.609375,23002.0,23002.0,364500,^BSESN
2016-02-29,23153.3203125,25479.619140625,23133.1796875,25341.859375,25341.859375,301700,^BSESN
2016-03-31,25301.69921875,26100.5390625,24523.19921875,25606.619140625,25606.619140625,236300,^BSESN
2016-04-30,25565.439453125,26837.19921875,25057.9296875,26667.9609375,26667.9609375,280500,^BSESN
2016-05-31,26684.4609375,27105.41015625,25911.330078125,26999.720703125,26999.720703125,245400,^BSESN
2016-06-30,27064.330078125,28240.19921875,27034.140625,28051.859375,28051.859375,266300,^BSESN
2016-07-31,28083.080078125,28532.25,27627.970703125,28452.169921875,28452.169921875,280700,^BSESN
2016-08-31,28459.08984375,29077.279296875,27716.779296875,27865.9609375,27865.9609375,258900,^BSESN
2016-09-30,27997.2890625,28477.650390625,27488.30078125,27941.509765625,27941.509765625,228500,^BSESN
2016-10-31,27966.1796875,28029.80078125,25717.9296875,26652.810546875,26652.810546875,261000,^BSESN
2016-11-30,26756.66015625,26803.759765625,25753.740234375,26626.4609375,26626.4609375,189300,^BSESN
2016-12-31,26711.150390625,27980.390625,26447.060546875,27655.9609375,27655.9609375,201400,^BSESN
2017-01-31,27669.080078125,29065.310546875,27590.099609375,28743.3203125,28743.3203125,240100,^BSESN
2017-02-28,28849.0390625,29824.619140625,28716.2109375,29620.5,29620.5,1536500,^BSESN
2017-03-31,29737.73046875,30184.220703125,29241.48046875,29918.400390625,29918.400390625,194700,^BSESN
2017-04-30,30021.490234375,31255.279296875,29804.119140625,31145.80078125,31145.80078125,282400,^BSESN
2017-05-31,31117.08984375,31522.869140625,30680.66015625,30921.609375,30921.609375,329400,^BSESN
2017-06-30,31156.0390625,32672.66015625,31017.109375,32514.939453125,32514.939453125,258300,^BSESN
2017-07-31,32579.80078125,32686.48046875,31128.01953125,31730.490234375,31730.490234375,241300,^BSESN
2017-08-31,31769.33984375,32524.109375,31081.830078125,31283.720703125,31283.720703125,233900,^BSESN
2017-09-30,31537.810546875,33340.171875,31440.48046875,33213.12890625,33213.12890625,209400,^BSESN
2017-10-31,33344.23046875,33865.94921875,32683.58984375,33149.3515625,33149.3515625,718100,^BSESN
2017-11-30,33247.66015625,34137.96875,32565.16015625,34056.828125,34056.828125,252700,^BSESN
2017-12-31,34059.98828125,36443.98046875,33703.37109375,35965.01953125,35965.01953125,382500,^BSESN
2018-01-31,36048.98828125,36256.828125,33482.80859375,34184.0390625,34184.0390625,342600,^BSESN
2018-02-28,34141.21875,34278.62890625,32483.83984375,32968.6796875,32968.6796875,266400,^BSESN
2018-03-31,33030.87109375,35213.30078125,32972.55859375,35160.359375,35160.359375,227700,^BSESN
2018-04-30,35328.91015625,35993.53125,34302.890625,35322.37890625,35322.37890625,239400,^BSESN
2018-05-31,35373.98046875,35877.41015625,34784.6796875,35423.48046875,35423.48046875,321000,^BSESN
2018-06-30,35545.21875,37644.58984375,35106.5703125,37606.578125,37606.578125,273300,^BSESN
2018-07-31,37643.87109375,38989.6484375,37128.98828125,38645.0703125,38645.0703125,263300,^BSESN
