,publish_date,headline_text
0,2021-01-01,F&O data hints Nifty in for a breather after latest high
1,2021-01-02,"Sebi fines Reliance Industries, Mukesh Ambani, two other entities"
2,2021-01-03,"Five Indian cricketers isolated after apparent quarantine breach, BCCI investigates"
3,2021-01-04,"Coworking firms opt for revenue share model to retain clients, cut vacancies"
4,2021-01-05,Fiat Chrysler set to invest $400 million in its India operations over the next two years
5,2021-01-06,"Brokers’ body bats for higher limits on LTCG, dividends"
6,2021-01-07,Emergency approval in India to help supply COVID-19 vaccine across the globe: AstraZeneca
7,2021-01-08,"JP Morgan bullish on Tata Steel, JSW and SAIL"
8,2021-01-09,Prime accused in Budaun rape-murder case arrested
9,2021-01-10,"Body parts, debris found after Indonesia plane crash"
10,2021-01-11,Six firms propose Rs 1500 crore investment as Karnataka bets big on Koppal toy cluster
11,2021-01-12,Samajwadi Party now trying to get rid of pro-muslim image
12,2021-01-13,Donald Trump rejects blame for riot as Democrats race to impeach him
13,2021-01-14,Indian High Commission in UK urges British MPs to consult it on all India related matters
14,2021-01-15,IDFC First Bank enters credit card business
15,2021-01-16,US sanctions six pro-China officials over Hong Kong arrests
16,2021-01-17,Odisha to take day off from vaccination drive tomorrow to observe recipients
17,2021-01-18,View: Is the Global Corruption Barometer missing the big picture?
18,2021-01-19,"E-waste becoming global challenge, but initiatives by companies give hope for better future"
19,2021-01-20,"Government to conduct nationwide survey to identify wilful EPFO, ESIC defaulters"
20,2021-01-21,Arnab Goswami gained ‘illegal’ access to DD FreeDish users
21,2021-01-22,"India bent Covid curve like Beckham, growth on solid ground: RBI"
22,2021-01-23,Heavy winter rain brings hope of bumper 'first flush' crop in Bengal tea belt
23,2021-01-24,Fire breaks out at Akashwani Bhawan
24,2021-01-25,CARE to challenge NCLT’s freeze on Srei downgrade
25,2021-01-26,"UP cabinet clears data centre policy; aims at Rs 20,000 cr investment"
26,2021-01-27,View: Startups deserve their long overdue 'Gabba Moment'
27,2021-01-28,Red Fort to remain shut for visitors till Jan 31: ASI
28,2021-01-29,View: RBI cherry-picks data to predict V-shaped recovery
29,2021-01-30,"View: India, don’t forget to FOSS"
30,2021-01-31,"China's manufacturing, services sectors weaken in January"
31,2021-02-01,"Medium and heavy truck market to grow 50-80% in 2021, says Daimler India Commercial Vehicle MD"
32,2021-02-02,View: The massive healthcare booster shot will act as a much-needed vaccine for the economy as well
33,2021-02-03,Zetwerk gets $120 million in Series D funding at $600 million valuation
34,2021-02-04,Farmers' agitation: Government says no action against NGOs helping protesters
35,2021-02-05,US-based Safesea all set to enter the fray to acquire Shipping Corp of India
36,2021-02-06,Tehrik-e Taliban Pakistan responsible for over 100 cross-border attacks last year: UN report
37,2021-02-07,Fire breaks out in Delhi's Okhla Phase II area
38,2021-02-08,View: Don't shy away from running a larger fiscal deficit
39,2021-02-09,"Assam government provides smartphones, solar lights for anti-poaching camps"
40,2021-02-10,Steelmaker Jindal Steel and Power records 35% jump in sales in January
41,2021-02-11,"Prestige Group, Awfis in tieup for six co-working spaces in South India"
42,2021-02-12,Future Lifestyle Fashions Q3 Result: Net loss at Rs 174 crore
43,2021-02-13,"Congress, BJP spar over welfare, agriculture policies during Budget debate in Rajya Sabha"
44,2021-02-14,"NABFOUNDATION, Dalmia Bharat Foundation to develop skill mapping programme for unemployed youths in North East"
45,2021-02-15,India may have turned recession corner in Q3
46,2021-02-16,Interrogation must for info on pro-Khalistani group: Police to court
47,2021-02-17,"Open to talks, opposition must not adopt spit 'n' run strategy: Govt"
48,2021-02-18,Unchanged cane prices vs govt claim of clearing higher dues than previous govts
49,2021-02-19,A hybrid workplace is the future: Zoom CEO
50,2021-02-20,Work from anywhere: The future has begun
51,2021-02-21,Why the moneyed aren't coming to India’s international financial center in Gujarat
52,2021-02-22,Farm laws agitation: BJP fields senior Jat leaders for farmers’ outreach
53,2021-02-23,Carlsberg’s probes reveal details of ‘potential’ unethical practices at India arm
54,2021-02-24,Upward spiral of diesel and petrol prices likely to continue
55,2021-02-25,Finance ministry to set up Working Group to redraw fiscal consolidation path
56,2021-02-26,"China celebrates official end of extreme poverty, lauds President Xi"
57,2021-02-27,US drops demand for 'safe harbour' in global tax talks
58,2021-02-28,"Assam firm mistakenly shown as ‘Quippo’, staff refuses to come to work"
59,2021-03-01,"View: With an aim to boost the Indian market, PLI is having the right effect"
60,2021-03-02,Finance Minister: NSE glitch cost govt immensely
61,2021-03-03,Comorbidity list to qualify for a Covid jab too limiting: Experts
62,2021-03-04,Assam polls: A battle to live up to legacy of Tarun Gogoi
63,2021-03-05,Poll panel seeks report on TMC's complaint about PM's pic on COVID-19 vaccination certificate
64,2021-03-06,"View: Over-the-top platforms are increasingly providing actors a bigger, better stage than cinemas"
65,2021-03-07,"Joe Biden, Democrats prevail as Senate OKs $1.9 trillion COVID-19 relief bill"
66,2021-03-08,Phone companies look to get 5G-ready as interest rises
67,2021-03-09,ICICI Lombard aims to be a tech company that does insurance
68,2021-03-10,Indians have to understand importance of inclusive business: Neelam Chhiber
69,2021-03-11,Sensex and Nifty rise for a 3rd day tracking global markets
70,2021-03-12,Arunachal CM Pema Khandu flags off mobile digital movie theatres
71,2021-03-13,Campaign songs in Tamil Nadu adapt to changing tunes of virtual electorate
72,2021-03-14,Assam polls: 360 model code of conduct grievances registered through cVigil app
73,2021-03-15,"Four MPs, actors, defectors, and an economist, BJP raises stakes in Bengal game"
74,2021-03-16,Lender Indiabulls Hsg sells Rana Kapoor’s property for Rs 114 crore
75,2021-03-17,"Infra, farm reforms put India on $5-trillion track: Aditya Puri, former chief executive of HDFC Bank"
76,2021-03-18,BJP looks for toehold as Dravidian parties sweat it out in Tamil Nadu
77,2021-03-19,Scrappage policy paves way for creation of recycling industry: Automobile manufacturers
78,2021-03-20,"Soon, a panel comprising scientists, industry leaders and policymakers may fast-track push for hydrogen as fuel"
79,2021-03-21,"SII fails to deliver, New Delhi’s vaccine diplomacy hits hurdle"
80,2021-03-22,Power Ministry to move SC against Andhra HC order
81,2021-03-23,About 40% of healthcare workers yet to receive second vaccine jab
82,2021-03-24,"Bengal polls: Didi didn’t keep her word, we’ll make Sunderbans a district, says Amit Shah"
83,2021-03-25,View: Swachh Bharat action holds some lessons on how to nudge Covid-responsive public behaviour
84,2021-03-26,PM Modi to address 50th anniversary of Bangladesh independence as Chief Guest
85,2021-03-27,"Deepak Kochhar pressured and influenced a witness, says ED"
86,2021-03-28,During Congress' time public had to pay bribes for getting benefits of government schemes: Assam CM
87,2021-03-29,India against Asean in supply chain trilateral
88,2021-03-30,"International reinsurers stare at big losses from Suez Canal's blockage, says Fitch Ratings"
89,2021-03-31,Banned Chinese firm Club Factory may take ‘Force Majeure’ route
90,2021-04-01,China calls on WHO to respect scientists’ Covid origin findings
91,2021-04-02,Nandigram battle lives up to its hype and hoopla
92,2021-04-03,The spiritual marketplace: New-era gurus are here to help you find your ikigai
93,2021-04-04,Uttarakhand announces COVID-19 vaccination for journalists
94,2021-04-05,Mission India: Joe Biden’s special envoy John Kerry to discuss climate change
95,2021-04-06,JSPL to sell Jindal Power to cut debt
96,2021-04-07,Bengal win will be bigger than 2017 UP victory: Amit Shah
